element_name,value_string,ts
lumiBlock,148,2023-05-01 22:15:06.475721
BIS2A06 HV ML1 fsm,ON,2023-05-01 22:15:23.055000
BIS2A06 HV ML2 fsm,ON,2023-05-01 22:15:23.055000
BIS2A06 HV ML1 fsm,RAMP_UP,2023-05-01 22:15:24.978000
BIS2A06 HV ML2 fsm,RAMP_UP,2023-05-01 22:15:24.979000
lumiBlock,150,2023-05-01 22:15:45.006772
BIS2A06 HV ML1 fsm,ON,2023-05-01 22:16:04.520000
BIS2A06 HV ML2 fsm,ON,2023-05-01 22:16:04.521000
lumiBlock,1058,2023-05-02 09:43:44.979214
BIS2A06 HV ML1 fsm,STANDBY,2023-05-02 09:44:05.828000
BIS2A06 HV ML2 fsm,STANDBY,2023-05-02 09:44:05.828000
BIS2A06 HV ML1 fsm,RAMP_DOWN,2023-05-02 09:44:06.699000
BIS2A06 HV ML2 fsm,RAMP_DOWN,2023-05-02 09:44:06.700000
lumiBlock,1059,2023-05-02 09:44:10.618259
BIS2A06 HV ML1 fsm,STANDBY,2023-05-02 09:44:19.724000
BIS2A06 HV ML2 fsm,STANDBY,2023-05-02 09:44:19.725000
lumiBlock,1090,2023-05-02 09:59:06.361096
