element_name,value_string,ts
lumiBlock,643,2023-05-01 22:15:16.016207
BIS3C10 HV ML2 fsm,RAMP_UP,2023-05-01 22:15:23.094000
BIS3C10 HV ML1 fsm,RAMP_UP,2023-05-01 22:15:23.094000
BIS3C10 HV ML1 fsm,ON,2023-05-01 22:16:02.528000
BIS3C10 HV ML2 fsm,ON,2023-05-01 22:16:03.528000
lumiBlock,1090,2023-05-02 03:59:06.361096
BIS3C10 HV ML2 fsm,RAMP_DOWN,2023-05-02 09:44:04.726000
BIS3C10 HV ML1 fsm,STANDBY,2023-05-02 09:44:05.849000
BIS3C10 HV ML1 fsm,RAMP_DOWN,2023-05-02 09:44:10.701000
BIS3C10 HV ML1 fsm,STANDBY,2023-05-02 09:44:17.714000
BIS3C10 HV ML2 fsm,STANDBY,2023-05-02 09:44:17.714000
