element_name,value_string,ts
lumiBlock,643,2023-05-01 22:15:16.016207
BIS5C12 HV ML2 fsm,ON,2023-05-01 22:15:23.097000
BIS5C12 HV ML1 fsm,ON,2023-05-01 22:15:23.097000
BIS5C12 HV ML1 fsm,RAMP_UP,2023-05-01 22:15:23.954000
BIS5C12 HV ML2 fsm,RAMP_UP,2023-05-01 22:15:23.955000
BIS5C12 HV ML1 fsm,ON,2023-05-01 22:16:03.529000
BIS5C12 HV ML2 fsm,ON,2023-05-01 22:16:03.529000
lumiBlock,1090,2023-05-02 03:59:06.361096
BIS5C12 HV ML1 fsm,RAMP_DOWN,2023-05-02 09:44:04.727000
BIS5C12 HV ML2 fsm,RAMP_DOWN,2023-05-02 09:44:05.850000
BIS5C12 HV ML1 fsm,STANDBY,2023-05-02 09:44:18.765000
BIS5C12 HV ML2 fsm,STANDBY,2023-05-02 09:44:18.767000
