element_name,value_string,ts
lumiBlock,1,2023-05-01 20:56:14.343100
lumiBlock,2,2023-05-01 20:57:14.461277
lumiBlock,3,2023-05-01 20:58:14.615877
lumiBlock,4,2023-05-01 20:59:14.770803
lumiBlock,5,2023-05-01 21:00:14.915041
lumiBlock,6,2023-05-01 21:01:15.061817
lumiBlock,7,2023-05-01 21:02:15.218636
lumiBlock,8,2023-05-01 21:03:15.345419
lumiBlock,9,2023-05-01 21:04:11.503433
lumiBlock,10,2023-05-01 21:04:21.692575
lumiBlock,11,2023-05-01 21:04:35.205144
lumiBlock,12,2023-05-01 21:05:00.256777
lumiBlock,13,2023-05-01 21:05:10.335301
lumiBlock,14,2023-05-01 21:05:58.364612
lumiBlock,15,2023-05-01 21:06:11.088122
lumiBlock,16,2023-05-01 21:06:21.194950
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL2A05.fsm.currentState,REQUEST,2023-05-01 21:06:22.173000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOS5A04.fsm.currentState,REQUEST,2023-05-01 21:06:22.175000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL2A05.fsm.currentState,PRELOAD,2023-05-01 21:06:22.179000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL2A05.fsm.currentState,RESET,2023-05-01 21:06:22.525000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOS5A04.fsm.currentState,PRELOAD,2023-05-01 21:06:22.528000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOS5A04.fsm.currentState,RESET,2023-05-01 21:06:22.866000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOF5A12.fsm.currentState,REQUEST,2023-05-01 21:06:24.172000
ATLMDTMDM6:MDT_ECC_JTAG_EE|BEE2C12.fsm.currentState,REQUEST,2023-05-01 21:06:24.176000
ATLMDTMDM6:MDT_ECC_JTAG_EE|BEE1C12.fsm.currentState,REQUEST,2023-05-01 21:06:24.176000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOF5A12.fsm.currentState,PRELOAD,2023-05-01 21:06:24.177000
ATLMDTMDM6:MDT_ECC_JTAG_EE|BEE2C12.fsm.currentState,PRELOAD,2023-05-01 21:06:24.182000
ATLMDTMDM6:MDT_ECC_JTAG_EE|BEE1C12.fsm.currentState,PRELOAD,2023-05-01 21:06:24.182000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOF5A12.fsm.currentState,RESET,2023-05-01 21:06:24.517000
ATLMDTMDM6:MDT_ECC_JTAG_EE|BEE2C12.fsm.currentState,RESET,2023-05-01 21:06:24.533000
ATLMDTMDM6:MDT_ECC_JTAG_EE|BEE1C12.fsm.currentState,RESET,2023-05-01 21:06:24.533000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL2A05.fsm.currentState,STRINGLOAD,2023-05-01 21:06:25.073000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOS5A04.fsm.currentState,STRINGLOAD,2023-05-01 21:06:25.174000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOF5A12.fsm.currentState,STRINGLOAD,2023-05-01 21:06:26.825000
ATLMDTMDM6:MDT_ECC_JTAG_EE|BEE1C12.fsm.currentState,STRINGLOAD,2023-05-01 21:06:26.841000
ATLMDTMDM6:MDT_ECC_JTAG_EE|BEE2C12.fsm.currentState,STRINGLOAD,2023-05-01 21:06:26.842000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL2A05.fsm.currentState,VERIFY,2023-05-01 21:06:27.086000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOS5A04.fsm.currentState,VERIFY,2023-05-01 21:06:27.187000
