element_name,value_string,ts
lumiBlock,352,2023-07-05 11:03:53.799013
BIS3C10 HV ML2 fsm,ON,2023-07-05 11:04:00.118000
BIS3C10 HV ML1 fsm,ON,2023-07-05 11:04:00.118000
BIS3C10 HV ML1 fsm,RAMP_UP,2023-07-05 11:04:02.992000
BIS3C10 HV ML2 fsm,RAMP_UP,2023-07-05 11:04:02.993000
lumiBlock,354,2023-07-05 11:04:25.647331
BIS3C10 HV ML1 fsm,ON,2023-07-05 11:04:41.024000
BIS3C10 HV ML2 fsm,ON,2023-07-05 11:04:41.025000
lumiBlock,1405,2023-07-05 23:07:11.085657
BIS3C10 HV ML2 fsm,STANDBY,2023-07-05 23:07:25.704000
BIS3C10 HV ML1 fsm,STANDBY,2023-07-05 23:07:25.704000
BIS3C10 HV ML1 fsm,RAMP_DOWN,2023-07-05 23:07:26.589000
BIS3C10 HV ML2 fsm,RAMP_DOWN,2023-07-05 23:07:27.582000
BIS3C10 HV ML1 fsm,STANDBY,2023-07-05 23:07:39.609000
BIS3C10 HV ML2 fsm,STANDBY,2023-07-05 23:07:40.601000
lumiBlock,1407,2023-07-05 23:09:11.607705
