element_name,value_string,ts
lumiBlock,1,2023-06-10 04:43:22.354516
lumiBlock,2,2023-06-10 04:44:22.613311
lumiBlock,3,2023-06-10 04:44:53.903299
lumiBlock,4,2023-06-10 04:45:12.462352
lumiBlock,5,2023-06-10 04:45:22.630075
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIR5C15.fsm.currentState,REQUEST,2023-06-10 04:45:43.317000
ATLMDTMDM1:MDT_BA_JTAG_INNER|BIM3A15.fsm.currentState,REQUEST,2023-06-10 04:45:43.321000
ATLMDTMDM5:MDT_ECC_JTAG_OUTER|EOL3C05.fsm.currentState,REQUEST,2023-06-10 04:45:43.324000
ATLMDTMDM1:MDT_BA_JTAG_INNER|BIM3A15.fsm.currentState,PRELOAD,2023-06-10 04:45:43.326000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOF1A12.fsm.currentState,REQUEST,2023-06-10 04:45:43.328000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,REQUEST,2023-06-10 04:45:43.328000
ATLMDTMDM5:MDT_ECC_JTAG_OUTER|EOL3C05.fsm.currentState,PRELOAD,2023-06-10 04:45:43.329000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOS2A08.fsm.currentState,REQUEST,2023-06-10 04:45:43.331000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOF1A12.fsm.currentState,PRELOAD,2023-06-10 04:45:43.337000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,PRELOAD,2023-06-10 04:45:43.344000
ATLMDTMDM5:MDT_ECC_JTAG_OUTER|EOL3C05.fsm.currentState,RESET,2023-06-10 04:45:43.656000
ATLMDTMDM1:MDT_BA_JTAG_INNER|BIM3A15.fsm.currentState,RESET,2023-06-10 04:45:43.664000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIR5C15.fsm.currentState,PRELOAD,2023-06-10 04:45:43.665000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOF1A12.fsm.currentState,RESET,2023-06-10 04:45:43.667000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOS2A08.fsm.currentState,PRELOAD,2023-06-10 04:45:43.668000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,RESET,2023-06-10 04:45:43.992000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIR5C15.fsm.currentState,RESET,2023-06-10 04:45:43.998000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOS2A08.fsm.currentState,RESET,2023-06-10 04:45:44.322000
lumiBlock,6,2023-06-10 04:45:45.295890
ATLMDTMDM5:MDT_ECC_JTAG_OUTER|EOL3C05.fsm.currentState,STRINGLOAD,2023-06-10 04:45:45.965000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOF1A12.fsm.currentState,STRINGLOAD,2023-06-10 04:45:46.197000
ATLMDTMDM1:MDT_BA_JTAG_INNER|BIM3A15.fsm.currentState,STRINGLOAD,2023-06-10 04:45:46.206000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIR5C15.fsm.currentState,STRINGLOAD,2023-06-10 04:45:46.314000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,STRINGLOAD,2023-06-10 04:45:46.527000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOS2A08.fsm.currentState,STRINGLOAD,2023-06-10 04:45:46.630000
ATLMDTMDM5:MDT_ECC_JTAG_OUTER|EOL3C05.fsm.currentState,VERIFY,2023-06-10 04:45:47.978000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOF1A12.fsm.currentState,VERIFY,2023-06-10 04:45:48.210000
ATLMDTMDM1:MDT_BA_JTAG_INNER|BIM3A15.fsm.currentState,VERIFY,2023-06-10 04:45:48.221000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIR5C15.fsm.currentState,VERIFY,2023-06-10 04:45:48.324000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,VERIFY,2023-06-10 04:45:48.540000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOS2A08.fsm.currentState,VERIFY,2023-06-10 04:45:48.642000
ATLMDTMDM5:MDT_ECC_JTAG_OUTER|EOL3C05.fsm.currentState,INITIALIZED,2023-06-10 04:45:48.948000
ATLMDTMDM1:MDT_BA_JTAG_INNER|BIM3A15.fsm.currentState,INITIALIZED,2023-06-10 04:45:49.553000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIR5C15.fsm.currentState,INITIALIZED,2023-06-10 04:45:49.625000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOF1A12.fsm.currentState,INITIALIZED,2023-06-10 04:45:50.899000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOS2A08.fsm.currentState,INITIALIZED,2023-06-10 04:45:50.935000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,INITIALIZED,2023-06-10 04:45:50.935000
lumiBlock,7,2023-06-10 04:45:55.380428
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOF1A12.fsm.currentState,REQUEST,2023-06-10 04:46:01.366000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOF1A12.fsm.currentState,PRELOAD,2023-06-10 04:46:01.370000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOF1A12.fsm.currentState,RESET,2023-06-10 04:46:01.701000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOF1A12.fsm.currentState,STRINGLOAD,2023-06-10 04:46:04.009000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOF1A12.fsm.currentState,VERIFY,2023-06-10 04:46:06.022000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOF1A12.fsm.currentState,INITIALIZED,2023-06-10 04:46:07.127000
lumiBlock,8,2023-06-10 04:46:50.534919
lumiBlock,9,2023-06-10 04:47:00.657436
lumiBlock,10,2023-06-10 04:47:10.884691
lumiBlock,11,2023-06-10 04:47:22.469003
lumiBlock,12,2023-06-10 04:47:32.623509
lumiBlock,13,2023-06-10 04:47:42.851310
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,REQUEST,2023-06-10 04:47:49.744000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,PRELOAD,2023-06-10 04:47:49.751000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,RESET,2023-06-10 04:47:50.085000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,STRINGLOAD,2023-06-10 04:47:52.398000
lumiBlock,14,2023-06-10 04:47:53.086311
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,VERIFY,2023-06-10 04:47:54.411000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,INITIALIZED,2023-06-10 04:47:55.401000
lumiBlock,15,2023-06-10 04:48:03.309946
lumiBlock,16,2023-06-10 04:48:29.499879
lumiBlock,17,2023-06-10 04:48:43.912167
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,REQUEST,2023-06-10 04:48:49.923000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,PRELOAD,2023-06-10 04:48:49.929000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,RESET,2023-06-10 04:48:50.257000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,STRINGLOAD,2023-06-10 04:48:52.568000
lumiBlock,18,2023-06-10 04:48:54.079483
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,VERIFY,2023-06-10 04:48:54.581000
