element_name,value_string,ts
lumiBlock,1,2023-06-10 21:14:59.559807
lumiBlock,2,2023-06-10 21:15:59.828358
lumiBlock,3,2023-06-10 21:17:00.096669
lumiBlock,4,2023-06-10 21:18:00.351656
lumiBlock,5,2023-06-10 21:19:00.617907
lumiBlock,6,2023-06-10 21:20:00.886554
lumiBlock,7,2023-06-10 21:21:01.152444
lumiBlock,8,2023-06-10 21:22:01.423945
lumiBlock,9,2023-06-10 21:23:01.690741
lumiBlock,10,2023-06-10 21:24:01.953236
lumiBlock,11,2023-06-10 21:24:37.223281
lumiBlock,12,2023-06-10 21:24:47.455910
lumiBlock,13,2023-06-10 21:24:57.686550
lumiBlock,14,2023-06-10 21:25:08.289216
lumiBlock,15,2023-06-10 21:25:18.413762
lumiBlock,16,2023-06-10 21:25:28.645943
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,REQUEST,2023-06-10 21:25:29.985000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,PRELOAD,2023-06-10 21:25:29.991000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,RESET,2023-06-10 21:25:30.335000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,STRINGLOAD,2023-06-10 21:25:32.643000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,VERIFY,2023-06-10 21:25:34.658000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,INITIALIZED,2023-06-10 21:25:35.765000
lumiBlock,17,2023-06-10 21:25:39.597427
lumiBlock,18,2023-06-10 21:26:11.250800
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,REQUEST,2023-06-10 21:26:26.164000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,PRELOAD,2023-06-10 21:26:26.169000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,RESET,2023-06-10 21:26:26.495000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,STRINGLOAD,2023-06-10 21:26:28.805000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,VERIFY,2023-06-10 21:26:30.818000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,INITIALIZED,2023-06-10 21:26:32.276000
lumiBlock,19,2023-06-10 21:26:41.146022
lumiBlock,20,2023-06-10 21:26:51.422851
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,REQUEST,2023-06-10 21:27:24.363000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,PRELOAD,2023-06-10 21:27:24.368000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,RESET,2023-06-10 21:27:24.697000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,STRINGLOAD,2023-06-10 21:27:27.005000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,VERIFY,2023-06-10 21:27:29.018000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,INITIALIZED,2023-06-10 21:27:30.496000
lumiBlock,21,2023-06-10 21:27:45.469853
lumiBlock,22,2023-06-10 21:27:55.693476
lumiBlock,23,2023-06-10 21:28:05.919538
lumiBlock,24,2023-06-10 21:28:21.042626
lumiBlock,25,2023-06-10 21:28:32.946471
ATLMDTPS2:MDTPS_BA_OUTER|BOL5A01_LV.fsm.currentState,OFF,2023-06-10 21:28:40.070000
ATLMDTPS2:MDTPS_BA_OUTER|BOL6A01_LV.fsm.currentState,OFF,2023-06-10 21:28:40.070000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL6A01.fsm.currentState,OFF,2023-06-10 21:28:40.071000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,OFF,2023-06-10 21:28:40.075000
ATLMDTPS2:MDTPS_BA|MDTPS_BA.fsm.currentState,NOT_READY,2023-06-10 21:28:40.122000
ATLMDTPS2:MDTPS_BA_OUTER|BOL5A01_LV.fsm.currentState,ON,2023-06-10 21:28:43.575000
ATLMDTPS2:MDTPS_BA_OUTER|BOL6A01_LV.fsm.currentState,ON,2023-06-10 21:28:43.575000
ATLMDTPS2:MDTPS_BA|MDTPS_BA.fsm.currentState,STANDBY,2023-06-10 21:28:43.628000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL6A01.fsm.currentState,NOT_INITIALIZED,2023-06-10 21:28:43.784000
ATLMDTMDM3:MDT_BA_JTAG_OUTER|BOL5A01.fsm.currentState,NOT_INITIALIZED,2023-06-10 21:28:43.787000
