element_name,value_string,ts
lumiBlock,1,2023-06-02 23:25:01.655740
lumiBlock,2,2023-06-02 23:26:01.908390
lumiBlock,3,2023-06-02 23:27:02.164452
lumiBlock,4,2023-06-02 23:28:02.422984
lumiBlock,5,2023-06-02 23:29:02.683187
lumiBlock,6,2023-06-02 23:30:02.935072
lumiBlock,7,2023-06-02 23:31:03.193616
lumiBlock,8,2023-06-02 23:32:03.460093
lumiBlock,9,2023-06-02 23:33:03.717653
lumiBlock,10,2023-06-02 23:34:03.973675
lumiBlock,11,2023-06-02 23:35:04.231058
lumiBlock,12,2023-06-02 23:36:04.497777
lumiBlock,13,2023-06-02 23:37:04.764514
lumiBlock,14,2023-06-02 23:38:05.022468
lumiBlock,15,2023-06-02 23:39:05.270624
lumiBlock,16,2023-06-02 23:40:05.524751
lumiBlock,17,2023-06-02 23:41:05.790065
lumiBlock,18,2023-06-02 23:42:06.047329
lumiBlock,19,2023-06-02 23:43:06.302992
lumiBlock,20,2023-06-02 23:44:06.568745
lumiBlock,21,2023-06-02 23:44:49.003542
lumiBlock,22,2023-06-02 23:44:59.052083
lumiBlock,23,2023-06-02 23:45:11.410441
lumiBlock,24,2023-06-02 23:45:21.533666
lumiBlock,25,2023-06-02 23:45:31.749788
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,REQUEST,2023-06-02 23:45:39.987000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,PRELOAD,2023-06-02 23:45:39.993000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,RESET,2023-06-02 23:45:40.353000
lumiBlock,26,2023-06-02 23:45:41.969475
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,STRINGLOAD,2023-06-02 23:45:42.661000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,VERIFY,2023-06-02 23:45:44.673000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,INITIALIZED,2023-06-02 23:45:45.521000
lumiBlock,27,2023-06-02 23:45:52.188339
lumiBlock,28,2023-06-02 23:46:03.285556
lumiBlock,29,2023-06-02 23:46:13.413572
lumiBlock,30,2023-06-02 23:46:23.640818
lumiBlock,31,2023-06-02 23:46:49.691238
lumiBlock,32,2023-06-02 23:47:13.308881
lumiBlock,33,2023-06-02 23:47:23.401052
lumiBlock,34,2023-06-02 23:47:33.626859
lumiBlock,35,2023-06-02 23:47:43.852459
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,REQUEST,2023-06-02 23:47:44.399000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,PRELOAD,2023-06-02 23:47:44.406000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,RESET,2023-06-02 23:47:44.742000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,STRINGLOAD,2023-06-02 23:47:47.052000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,VERIFY,2023-06-02 23:47:49.065000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,INITIALIZED,2023-06-02 23:47:49.873000
lumiBlock,36,2023-06-02 23:47:54.076681
lumiBlock,37,2023-06-02 23:48:04.301399
lumiBlock,38,2023-06-02 23:48:14.523215
lumiBlock,39,2023-06-02 23:48:24.747760
lumiBlock,40,2023-06-02 23:48:50.760339
lumiBlock,41,2023-06-02 23:49:00.985910
lumiBlock,42,2023-06-02 23:49:11.209320
lumiBlock,43,2023-06-02 23:49:32.388644
lumiBlock,44,2023-06-02 23:50:05.334167
lumiBlock,45,2023-06-02 23:50:15.481823
lumiBlock,46,2023-06-02 23:50:46.917922
lumiBlock,47,2023-06-02 23:51:03.308527
lumiBlock,48,2023-06-02 23:51:16.310286
lumiBlock,49,2023-06-02 23:52:14.552718
lumiBlock,50,2023-06-02 23:52:24.803283
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,REQUEST,2023-06-02 23:52:27.305000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,PRELOAD,2023-06-02 23:52:27.309000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,RESET,2023-06-02 23:52:27.639000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,STRINGLOAD,2023-06-02 23:52:29.947000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,VERIFY,2023-06-02 23:52:31.968000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,INITIALIZED,2023-06-02 23:52:33.102000
lumiBlock,51,2023-06-02 23:53:10.468519
lumiBlock,52,2023-06-02 23:53:59.612499
lumiBlock,53,2023-06-02 23:54:15.193341
lumiBlock,54,2023-06-02 23:54:35.147224
lumiBlock,55,2023-06-02 23:54:48.303316
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,REQUEST,2023-06-02 23:55:25.860000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,PRELOAD,2023-06-02 23:55:25.865000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIL3C05.fsm.currentState,RESET,2023-06-02 23:55:26.192000
lumiBlock,56,2023-06-02 23:55:27.605373
