element_name,value_string,ts
lumiBlock,1,2023-06-28 07:39:50.005215
lumiBlock,2,2023-06-28 07:40:34.361109
lumiBlock,3,2023-06-28 07:41:29.658685
lumiBlock,4,2023-06-28 07:41:39.809412
lumiBlock,5,2023-06-28 07:42:40.080422
lumiBlock,6,2023-06-28 07:43:40.340103
lumiBlock,7,2023-06-28 07:44:40.603812
lumiBlock,8,2023-06-28 07:45:40.871255
lumiBlock,9,2023-06-28 07:46:41.120129
lumiBlock,10,2023-06-28 07:47:41.387250
lumiBlock,11,2023-06-28 07:48:41.646637
lumiBlock,12,2023-06-28 07:49:41.914364
lumiBlock,13,2023-06-28 07:50:42.171981
lumiBlock,14,2023-06-28 07:51:42.431679
lumiBlock,15,2023-06-28 07:52:42.697260
lumiBlock,16,2023-06-28 07:53:42.965711
lumiBlock,17,2023-06-28 07:54:43.220975
lumiBlock,18,2023-06-28 07:55:43.479853
lumiBlock,19,2023-06-28 07:56:43.746742
lumiBlock,20,2023-06-28 07:57:44.012866
lumiBlock,21,2023-06-28 07:58:44.278528
lumiBlock,22,2023-06-28 07:59:44.543823
lumiBlock,23,2023-06-28 08:00:44.803320
lumiBlock,24,2023-06-28 08:01:45.070562
lumiBlock,25,2023-06-28 08:02:45.336188
lumiBlock,26,2023-06-28 08:03:45.605222
lumiBlock,27,2023-06-28 08:04:45.872019
lumiBlock,28,2023-06-28 08:05:46.129389
lumiBlock,29,2023-06-28 08:06:46.385092
lumiBlock,30,2023-06-28 08:07:46.650113
lumiBlock,31,2023-06-28 08:08:46.915339
lumiBlock,32,2023-06-28 08:09:47.174216
lumiBlock,33,2023-06-28 08:10:47.435037
lumiBlock,34,2023-06-28 08:11:47.698270
lumiBlock,35,2023-06-28 08:12:47.957433
lumiBlock,36,2023-06-28 08:13:48.227697
lumiBlock,37,2023-06-28 08:14:48.486280
lumiBlock,38,2023-06-28 08:15:48.749900
lumiBlock,39,2023-06-28 08:16:49.015981
lumiBlock,40,2023-06-28 08:17:49.286070
lumiBlock,41,2023-06-28 08:18:49.553310
lumiBlock,42,2023-06-28 08:19:49.830785
lumiBlock,43,2023-06-28 08:20:50.094065
lumiBlock,44,2023-06-28 08:21:50.355258
lumiBlock,45,2023-06-28 08:22:50.615466
lumiBlock,46,2023-06-28 08:23:50.884375
lumiBlock,47,2023-06-28 08:24:51.145491
lumiBlock,48,2023-06-28 08:25:51.414901
lumiBlock,49,2023-06-28 08:26:51.663461
lumiBlock,50,2023-06-28 08:27:51.934662
lumiBlock,51,2023-06-28 08:28:52.193028
lumiBlock,52,2023-06-28 08:29:52.466303
lumiBlock,53,2023-06-28 08:30:52.725559
lumiBlock,54,2023-06-28 08:31:52.995631
lumiBlock,55,2023-06-28 08:32:53.253698
lumiBlock,56,2023-06-28 08:33:53.516818
lumiBlock,57,2023-06-28 08:34:53.773503
lumiBlock,58,2023-06-28 08:35:54.042774
lumiBlock,59,2023-06-28 08:36:54.301296
lumiBlock,60,2023-06-28 08:37:54.572237
lumiBlock,61,2023-06-28 08:38:54.821087
lumiBlock,62,2023-06-28 08:39:55.092009
lumiBlock,63,2023-06-28 08:40:55.351143
lumiBlock,64,2023-06-28 08:41:55.610687
lumiBlock,65,2023-06-28 08:42:55.867435
lumiBlock,66,2023-06-28 08:43:56.137168
lumiBlock,67,2023-06-28 08:44:56.386276
lumiBlock,68,2023-06-28 08:45:56.654042
lumiBlock,69,2023-06-28 08:46:56.912336
lumiBlock,70,2023-06-28 08:47:57.183982
