element_name,value_string,ts
lumiBlock,1,2023-07-03 16:07:24.343060
lumiBlock,2,2023-07-03 16:08:24.612767
lumiBlock,3,2023-07-03 16:08:55.488579
lumiBlock,4,2023-07-03 16:09:05.558287
lumiBlock,5,2023-07-03 16:09:15.618142
lumiBlock,6,2023-07-03 16:09:28.396818
lumiBlock,7,2023-07-03 16:09:38.609186
ATLMDTMDM2:MDT_BA_JTAG_MIDDLE|BML4A07.fsm.currentState,REQUEST,2023-07-03 16:09:45.646000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIS1C10.fsm.currentState,REQUEST,2023-07-03 16:09:45.649000
ATLMDTMDM2:MDT_BA_JTAG_MIDDLE|BML4A07.fsm.currentState,PRELOAD,2023-07-03 16:09:45.652000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIS1C10.fsm.currentState,PRELOAD,2023-07-03 16:09:45.656000
ATLMDTMDM4:MDT_ECA_JTAG_MIDDLE|EMS2A06.fsm.currentState,REQUEST,2023-07-03 16:09:45.661000
ATLMDTMDM4:MDT_ECA_JTAG_OUTER|EOL4A01.fsm.currentState,REQUEST,2023-07-03 16:09:45.661000
ATLMDTMDM4:MDT_ECA_JTAG_OUTER|EOL4A13.fsm.currentState,REQUEST,2023-07-03 16:09:45.663000
ATLMDTMDM4:MDT_ECA_JTAG_MIDDLE|EMS2A06.fsm.currentState,PRELOAD,2023-07-03 16:09:45.672000
ATLMDTMDM4:MDT_ECA_JTAG_OUTER|EOL4A01.fsm.currentState,PRELOAD,2023-07-03 16:09:45.672000
ATLMDTMDM4:MDT_ECA_JTAG_OUTER|EOL4A13.fsm.currentState,PRELOAD,2023-07-03 16:09:45.673000
ATLMDTMDM2:MDT_BA_JTAG_MIDDLE|BML4A07.fsm.currentState,RESET,2023-07-03 16:09:45.997000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIS1C10.fsm.currentState,RESET,2023-07-03 16:09:46.011000
ATLMDTMDM4:MDT_ECA_JTAG_MIDDLE|EMS2A06.fsm.currentState,RESET,2023-07-03 16:09:46.685000
ATLMDTMDM4:MDT_ECA_JTAG_OUTER|EOL4A01.fsm.currentState,RESET,2023-07-03 16:09:46.685000
ATLMDTMDM4:MDT_ECA_JTAG_OUTER|EOL4A13.fsm.currentState,RESET,2023-07-03 16:09:46.688000
ATLMDTMDM2:MDT_BA_JTAG_MIDDLE|BML4A07.fsm.currentState,STRINGLOAD,2023-07-03 16:09:48.306000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIS1C10.fsm.currentState,STRINGLOAD,2023-07-03 16:09:48.320000
lumiBlock,8,2023-07-03 16:09:48.838718
ATLMDTMDM4:MDT_ECA_JTAG_OUTER|EOL4A13.fsm.currentState,STRINGLOAD,2023-07-03 16:09:49.000000
ATLMDTMDM4:MDT_ECA_JTAG_MIDDLE|EMS2A06.fsm.currentState,STRINGLOAD,2023-07-03 16:09:49.000000
ATLMDTMDM4:MDT_ECA_JTAG_OUTER|EOL4A01.fsm.currentState,STRINGLOAD,2023-07-03 16:09:49.000000
ATLMDTMDM2:MDT_BA_JTAG_MIDDLE|BML4A07.fsm.currentState,VERIFY,2023-07-03 16:09:50.318000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIS1C10.fsm.currentState,VERIFY,2023-07-03 16:09:50.331000
ATLMDTMDM4:MDT_ECA_JTAG_OUTER|EOL4A13.fsm.currentState,VERIFY,2023-07-03 16:09:51.026000
ATLMDTMDM4:MDT_ECA_JTAG_OUTER|EOL4A01.fsm.currentState,VERIFY,2023-07-03 16:09:51.026000
ATLMDTMDM4:MDT_ECA_JTAG_MIDDLE|EMS2A06.fsm.currentState,VERIFY,2023-07-03 16:09:51.026000
ATLMDTMDM2:MDT_BA_JTAG_MIDDLE|BML4A07.fsm.currentState,INITIALIZED,2023-07-03 16:09:51.138000
ATLMDTMDM1:MDT_BC_JTAG_INNER|BIS1C10.fsm.currentState,INITIALIZED,2023-07-03 16:09:51.149000
ATLMDTMDM4:MDT_ECA_JTAG_OUTER|EOL4A13.fsm.currentState,INITIALIZED,2023-07-03 16:09:51.951000
ATLMDTMDM4:MDT_ECA_JTAG_OUTER|EOL4A01.fsm.currentState,INITIALIZED,2023-07-03 16:09:51.951000
ATLMDTMDM4:MDT_ECA_JTAG_MIDDLE|EMS2A06.fsm.currentState,INITIALIZED,2023-07-03 16:09:51.951000
lumiBlock,9,2023-07-03 16:09:59.212165
lumiBlock,10,2023-07-03 16:10:14.732601
lumiBlock,11,2023-07-03 16:10:24.842170
lumiBlock,12,2023-07-03 16:10:41.772465
lumiBlock,13,2023-07-03 16:11:04.510144
lumiBlock,14,2023-07-03 16:11:14.606798
lumiBlock,15,2023-07-03 16:11:24.832201
lumiBlock,16,2023-07-03 16:11:35.051661
lumiBlock,17,2023-07-03 16:11:53.633182
lumiBlock,18,2023-07-03 16:12:03.787802
lumiBlock,19,2023-07-03 16:12:14.071964
lumiBlock,20,2023-07-03 16:12:31.716203
lumiBlock,21,2023-07-03 16:13:28.178550
lumiBlock,22,2023-07-03 16:13:39.577929
lumiBlock,23,2023-07-03 16:14:13.334393
lumiBlock,24,2023-07-03 16:14:23.613552
lumiBlock,25,2023-07-03 16:14:33.842639
lumiBlock,26,2023-07-03 16:14:44.065683
lumiBlock,27,2023-07-03 16:14:54.290642
lumiBlock,28,2023-07-03 16:15:54.557201
lumiBlock,29,2023-07-03 16:16:54.812331
lumiBlock,30,2023-07-03 16:17:55.076111
lumiBlock,31,2023-07-03 16:18:55.342534
lumiBlock,32,2023-07-03 16:19:11.776567
lumiBlock,33,2023-07-03 16:19:21.829958
lumiBlock,34,2023-07-03 16:19:32.056017
lumiBlock,35,2023-07-03 16:20:28.202368
lumiBlock,36,2023-07-03 16:20:51.437057
lumiBlock,37,2023-07-03 16:21:01.605530
lumiBlock,38,2023-07-03 16:21:11.834128
lumiBlock,39,2023-07-03 16:21:22.068376
lumiBlock,40,2023-07-03 16:21:32.303185
lumiBlock,41,2023-07-03 16:21:44.636452
lumiBlock,42,2023-07-03 16:21:54.799013
lumiBlock,43,2023-07-03 16:22:05.582721
lumiBlock,44,2023-07-03 16:22:18.504863
lumiBlock,45,2023-07-03 16:22:28.790365
lumiBlock,46,2023-07-03 16:22:44.412549
lumiBlock,47,2023-07-03 16:23:44.575236
lumiBlock,48,2023-07-03 16:23:54.801671
lumiBlock,49,2023-07-03 16:24:05.027101
lumiBlock,50,2023-07-03 16:25:00.874741
lumiBlock,51,2023-07-03 16:25:23.084264
lumiBlock,52,2023-07-03 16:25:33.323833
lumiBlock,53,2023-07-03 16:26:33.593167
lumiBlock,54,2023-07-03 16:27:19.004342
lumiBlock,55,2023-07-03 16:27:35.906321
lumiBlock,56,2023-07-03 16:27:46.115325
lumiBlock,57,2023-07-03 16:28:08.654224
lumiBlock,58,2023-07-03 16:28:18.870147
lumiBlock,59,2023-07-03 16:28:29.099577
lumiBlock,60,2023-07-03 16:28:54.688077
lumiBlock,61,2023-07-03 16:29:04.846429
lumiBlock,62,2023-07-03 16:30:05.126048
lumiBlock,63,2023-07-03 16:31:05.392573
lumiBlock,64,2023-07-03 16:32:05.655594
lumiBlock,65,2023-07-03 16:33:05.917867
lumiBlock,66,2023-07-03 16:34:06.186233
lumiBlock,67,2023-07-03 16:35:06.457638
lumiBlock,68,2023-07-03 16:36:06.729135
lumiBlock,69,2023-07-03 16:37:06.991546
lumiBlock,70,2023-07-03 16:38:07.262950
lumiBlock,71,2023-07-03 16:39:07.535300
lumiBlock,72,2023-07-03 16:39:17.762454
lumiBlock,73,2023-07-03 16:39:27.988119
lumiBlock,74,2023-07-03 16:39:38.214209
lumiBlock,75,2023-07-03 16:39:48.442316
lumiBlock,76,2023-07-03 16:40:11.533727
lumiBlock,77,2023-07-03 16:40:21.689399
lumiBlock,78,2023-07-03 16:40:37.616506
lumiBlock,79,2023-07-03 16:41:10.731649
lumiBlock,80,2023-07-03 16:42:11.003116
lumiBlock,81,2023-07-03 16:42:21.230597
lumiBlock,82,2023-07-03 16:42:39.314298
lumiBlock,83,2023-07-03 16:43:00.581143
lumiBlock,84,2023-07-03 16:43:32.687685
lumiBlock,85,2023-07-03 16:44:12.878239
lumiBlock,86,2023-07-03 16:45:13.098260
lumiBlock,87,2023-07-03 16:45:23.325435
lumiBlock,88,2023-07-03 16:45:57.018785
lumiBlock,89,2023-07-03 16:46:17.959371
lumiBlock,90,2023-07-03 16:46:54.587269
lumiBlock,91,2023-07-03 16:47:13.281957
lumiBlock,92,2023-07-03 16:47:28.233176
lumiBlock,93,2023-07-03 16:47:38.405317
lumiBlock,94,2023-07-03 16:48:38.671888
lumiBlock,95,2023-07-03 16:48:48.900385
lumiBlock,96,2023-07-03 16:49:49.170130
lumiBlock,97,2023-07-03 16:50:01.855259
lumiBlock,98,2023-07-03 16:51:01.949682
lumiBlock,99,2023-07-03 16:51:41.253627
lumiBlock,100,2023-07-03 16:52:41.503306
lumiBlock,101,2023-07-03 16:52:58.763505
lumiBlock,102,2023-07-03 16:53:14.841481
lumiBlock,103,2023-07-03 16:54:16.894731
lumiBlock,104,2023-07-03 16:54:32.784343
lumiBlock,105,2023-07-03 16:55:32.909523
lumiBlock,106,2023-07-03 16:55:57.487970
lumiBlock,107,2023-07-03 16:56:57.699510
lumiBlock,108,2023-07-03 16:57:47.534518
lumiBlock,109,2023-07-03 16:58:03.283411
lumiBlock,110,2023-07-03 16:58:13.491418
lumiBlock,111,2023-07-03 16:58:23.718949
lumiBlock,112,2023-07-03 16:58:33.946605
lumiBlock,113,2023-07-03 16:58:44.172315
lumiBlock,114,2023-07-03 16:58:59.816394
