element_name,value_string,ts
lumiBlock,1,2023-06-12 21:16:18.306285
lumiBlock,2,2023-06-12 21:17:18.568314
lumiBlock,3,2023-06-12 21:17:47.337491
lumiBlock,4,2023-06-12 21:17:57.557811
lumiBlock,5,2023-06-12 21:18:07.784668
lumiBlock,6,2023-06-12 21:18:18.019592
lumiBlock,7,2023-06-12 21:18:28.248457
lumiBlock,8,2023-06-12 21:18:38.475284
lumiBlock,9,2023-06-12 21:18:48.704514
lumiBlock,10,2023-06-12 21:18:58.934370
lumiBlock,11,2023-06-12 21:19:09.160303
lumiBlock,12,2023-06-12 21:19:19.389262
lumiBlock,13,2023-06-12 21:19:34.709265
lumiBlock,14,2023-06-12 21:19:44.881574
lumiBlock,15,2023-06-12 21:19:55.111845
lumiBlock,16,2023-06-12 21:20:07.353674
lumiBlock,17,2023-06-12 21:20:17.592762
lumiBlock,18,2023-06-12 21:20:27.827938
lumiBlock,19,2023-06-12 21:20:38.058989
lumiBlock,20,2023-06-12 21:20:48.285260
lumiBlock,21,2023-06-12 21:21:07.924215
lumiBlock,22,2023-06-12 21:21:20.721786
lumiBlock,23,2023-06-12 21:21:37.687658
lumiBlock,24,2023-06-12 21:21:51.820536
lumiBlock,25,2023-06-12 21:22:02.060126
lumiBlock,26,2023-06-12 21:22:12.286359
lumiBlock,27,2023-06-12 21:23:12.549375
lumiBlock,28,2023-06-12 21:23:22.774393
lumiBlock,29,2023-06-12 21:23:32.999752
lumiBlock,30,2023-06-12 21:23:44.399590
lumiBlock,31,2023-06-12 21:23:54.476254
lumiBlock,32,2023-06-12 21:24:36.363233
lumiBlock,33,2023-06-12 21:24:46.496148
lumiBlock,34,2023-06-12 21:25:00.669435
lumiBlock,35,2023-06-12 21:26:00.788176
lumiBlock,36,2023-06-12 21:27:01.046349
lumiBlock,37,2023-06-12 21:27:36.770457
lumiBlock,38,2023-06-12 21:28:21.356839
ATLMDTPS2:MDTPS_BA_OUTER|BOS1A06_ML1.fsm.currentState,UNKNOWN,2023-06-12 21:28:29.427000
ATLMDTPS2:MDTPS_BA_OUTER|BOS2A06_ML1.fsm.currentState,UNKNOWN,2023-06-12 21:28:29.430000
ATLMDTPS2:MDTPS_BA_OUTER|BOS6A06_ML1.fsm.currentState,UNKNOWN,2023-06-12 21:28:29.430000
ATLMDTPS2:MDTPS_BA_OUTER|BOS3A06_ML1.fsm.currentState,UNKNOWN,2023-06-12 21:28:29.430000
ATLMDTPS2:MDTPS_BA_OUTER|BOS5A06_ML1.fsm.currentState,UNKNOWN,2023-06-12 21:28:29.430000
ATLMDTPS2:MDTPS_BA_OUTER|BOS4A06_ML1.fsm.currentState,UNKNOWN,2023-06-12 21:28:29.430000
ATLMDTPS2:MDTPS_BA|MDTPS_BA.fsm.currentState,UNKNOWN,2023-06-12 21:28:29.432000
ATLMDTPS2:MDTPS_BA_OUTER|BOS1A06_ML2.fsm.currentState,UNKNOWN,2023-06-12 21:28:29.440000
ATLMDTPS2:MDTPS_BA_OUTER|BOS2A06_ML2.fsm.currentState,UNKNOWN,2023-06-12 21:28:29.440000
ATLMDTPS2:MDTPS_BA_OUTER|BOS3A06_ML2.fsm.currentState,UNKNOWN,2023-06-12 21:28:29.440000
ATLMDTPS2:MDTPS_BA_OUTER|BOS4A06_ML2.fsm.currentState,UNKNOWN,2023-06-12 21:28:29.440000
ATLMDTPS2:MDTPS_BA_OUTER|BOS5A06_ML2.fsm.currentState,UNKNOWN,2023-06-12 21:28:29.440000
ATLMDTPS2:MDTPS_BA_OUTER|BOS6A06_ML2.fsm.currentState,UNKNOWN,2023-06-12 21:28:29.440000
ATLMDTPS2:MDTPS_BA_OUTER|BOL3A07_ML2.fsm.currentState,UNKNOWN,2023-06-12 21:28:29.468000
