element_name,value_string,ts
lumiBlock,1,2023-05-17 01:00:24.049838
lumiBlock,2,2023-05-17 01:01:24.318636
lumiBlock,3,2023-05-17 01:01:41.310789
lumiBlock,4,2023-05-17 01:01:51.557985
lumiBlock,5,2023-05-17 01:02:01.783561
lumiBlock,6,2023-05-17 01:02:14.521614
lumiBlock,7,2023-05-17 01:02:24.768248
lumiBlock,8,2023-05-17 01:02:34.995881
lumiBlock,9,2023-05-17 01:02:54.639239
lumiBlock,10,2023-05-17 01:03:04.742845
lumiBlock,11,2023-05-17 01:03:17.050142
lumiBlock,12,2023-05-17 01:03:27.228486
lumiBlock,13,2023-05-17 01:03:37.455245
lumiBlock,14,2023-05-17 01:03:47.673909
lumiBlock,15,2023-05-17 01:03:58.097438
lumiBlock,16,2023-05-17 01:04:08.161364
lumiBlock,17,2023-05-17 01:04:31.529644
lumiBlock,18,2023-05-17 01:04:45.200751
lumiBlock,19,2023-05-17 01:04:58.268639
lumiBlock,20,2023-05-17 01:05:08.438483
lumiBlock,21,2023-05-17 01:05:18.665060
lumiBlock,22,2023-05-17 01:05:40.155417
lumiBlock,23,2023-05-17 01:05:50.397990
lumiBlock,24,2023-05-17 01:06:00.621310
lumiBlock,25,2023-05-17 01:06:54.475825
lumiBlock,26,2023-05-17 01:07:54.688400
lumiBlock,27,2023-05-17 01:08:04.917533
lumiBlock,28,2023-05-17 01:08:16.270632
lumiBlock,29,2023-05-17 01:08:32.543229
lumiBlock,30,2023-05-17 01:08:42.670488
lumiBlock,31,2023-05-17 01:08:52.890379
lumiBlock,32,2023-05-17 01:09:40.147952
lumiBlock,33,2023-05-17 01:10:08.385461
lumiBlock,34,2023-05-17 01:10:19.024569
lumiBlock,35,2023-05-17 01:10:56.539007
lumiBlock,36,2023-05-17 01:11:06.703521
lumiBlock,37,2023-05-17 01:11:16.930445
lumiBlock,38,2023-05-17 01:12:08.282617
lumiBlock,39,2023-05-17 01:12:46.021396
lumiBlock,40,2023-05-17 01:12:56.234024
lumiBlock,41,2023-05-17 01:13:14.857539
lumiBlock,42,2023-05-17 01:14:03.626845
lumiBlock,43,2023-05-17 01:14:16.196739
lumiBlock,44,2023-05-17 01:14:39.237503
lumiBlock,45,2023-05-17 01:14:53.831856
lumiBlock,46,2023-05-17 01:15:24.828583
lumiBlock,47,2023-05-17 01:15:39.483320
lumiBlock,48,2023-05-17 01:15:52.576464
lumiBlock,49,2023-05-17 01:16:02.848041
lumiBlock,50,2023-05-17 01:16:52.476546
lumiBlock,51,2023-05-17 01:17:04.267559
lumiBlock,52,2023-05-17 01:17:32.504896
lumiBlock,53,2023-05-17 01:18:01.678278
lumiBlock,54,2023-05-17 01:18:17.307928
lumiBlock,55,2023-05-17 01:19:17.489374
lumiBlock,56,2023-05-17 01:19:27.717897
lumiBlock,57,2023-05-17 01:20:28.000340
lumiBlock,58,2023-05-17 01:21:28.273274
lumiBlock,59,2023-05-17 01:22:28.537297
lumiBlock,60,2023-05-17 01:23:28.808144
lumiBlock,61,2023-05-17 01:24:25.950591
lumiBlock,62,2023-05-17 01:24:36.068115
lumiBlock,63,2023-05-17 01:24:46.303508
lumiBlock,64,2023-05-17 01:24:56.538225
lumiBlock,65,2023-05-17 01:25:06.773485
lumiBlock,66,2023-05-17 01:25:36.730456
lumiBlock,67,2023-05-17 01:26:36.619756
lumiBlock,68,2023-05-17 01:27:14.057524
lumiBlock,69,2023-05-17 01:28:14.157828
lumiBlock,70,2023-05-17 01:28:24.381504
lumiBlock,71,2023-05-17 01:28:34.617155
lumiBlock,72,2023-05-17 01:28:44.843928
lumiBlock,73,2023-05-17 01:28:59.585271
lumiBlock,74,2023-05-17 01:29:25.634655
lumiBlock,75,2023-05-17 01:29:52.716791
lumiBlock,76,2023-05-17 01:30:17.785862
lumiBlock,77,2023-05-17 01:30:27.889190
lumiBlock,78,2023-05-17 01:30:38.122881
lumiBlock,79,2023-05-17 01:31:04.846516
lumiBlock,80,2023-05-17 01:31:28.888338
lumiBlock,81,2023-05-17 01:32:28.926626
lumiBlock,82,2023-05-17 01:33:29.195743
lumiBlock,83,2023-05-17 01:33:39.430107
lumiBlock,84,2023-05-17 01:33:49.657370
lumiBlock,85,2023-05-17 01:33:59.884104
lumiBlock,86,2023-05-17 01:34:51.520714
lumiBlock,87,2023-05-17 01:35:01.656477
lumiBlock,88,2023-05-17 01:35:52.948507
lumiBlock,89,2023-05-17 01:36:52.687376
lumiBlock,90,2023-05-17 01:37:52.777204
lumiBlock,91,2023-05-17 01:38:27.878381
lumiBlock,92,2023-05-17 01:38:38.041689
lumiBlock,93,2023-05-17 01:38:48.265010
lumiBlock,94,2023-05-17 01:38:58.500375
lumiBlock,95,2023-05-17 01:39:08.735502
lumiBlock,96,2023-05-17 01:39:27.708401
lumiBlock,97,2023-05-17 01:39:44.157415
lumiBlock,98,2023-05-17 01:39:54.223299
lumiBlock,99,2023-05-17 01:40:36.463396
lumiBlock,100,2023-05-17 01:40:46.905855
lumiBlock,101,2023-05-17 01:41:01.882678
lumiBlock,102,2023-05-17 01:41:11.999465
lumiBlock,103,2023-05-17 01:42:07.338834
lumiBlock,104,2023-05-17 01:42:17.530825
lumiBlock,105,2023-05-17 01:42:53.885490
lumiBlock,106,2023-05-17 01:43:17.530329
lumiBlock,107,2023-05-17 01:44:03.616903
lumiBlock,108,2023-05-17 01:44:15.927243
lumiBlock,109,2023-05-17 01:44:50.030603
lumiBlock,110,2023-05-17 01:45:00.101756
lumiBlock,111,2023-05-17 01:45:50.951518
lumiBlock,112,2023-05-17 01:46:03.377064
lumiBlock,113,2023-05-17 01:46:13.613782
lumiBlock,114,2023-05-17 01:46:24.165462
lumiBlock,115,2023-05-17 01:46:48.314276
lumiBlock,116,2023-05-17 01:46:58.380023
lumiBlock,117,2023-05-17 01:47:09.192383
lumiBlock,118,2023-05-17 01:47:41.508428
lumiBlock,119,2023-05-17 01:48:16.359365
lumiBlock,120,2023-05-17 01:48:27.677638
lumiBlock,121,2023-05-17 01:49:01.479728
lumiBlock,122,2023-05-17 01:49:41.481318
lumiBlock,123,2023-05-17 01:50:39.049471
lumiBlock,124,2023-05-17 01:51:22.273028
lumiBlock,125,2023-05-17 01:52:22.329382
lumiBlock,126,2023-05-17 01:53:22.609921
lumiBlock,127,2023-05-17 01:53:40.750025
lumiBlock,128,2023-05-17 01:54:11.825310
