element_name,value_string,ts
lumiBlock,1142,2023-04-21 16:58:13.060281
BIL4C05 HV ML1 fsm,RAMP_UP,2023-04-21 16:58:13.940000
BIL4C05 HV ML2 fsm,RAMP_UP,2023-04-21 16:58:13.940000
lumiBlock,1144,2023-04-21 16:58:53.328023
BIL4C05 HV ML1 fsm,ON,2023-04-21 16:58:56.018000
BIL4C05 HV ML2 fsm,ON,2023-04-21 16:58:57.009000
lumiBlock,1495,2023-04-21 18:40:08.294850
BIL4C05 HV ML1 fsm,STANDBY,2023-04-22 00:32:08.128000
BIL4C05 HV ML2 fsm,STANDBY,2023-04-22 00:32:08.128000
BIL4C05 HV ML1 fsm,RAMP_DOWN,2023-04-22 00:32:11.012000
BIL4C05 HV ML2 fsm,RAMP_DOWN,2023-04-22 00:32:12.047000
BIL4C05 HV ML2 fsm,STANDBY,2023-04-22 00:32:19.036000
BIL4C05 HV ML1 fsm,STANDBY,2023-04-22 00:32:25.056000
