,element_name,comment_
38,ATLMDTPS2:CAEN/PSMDT02/branchController04/easyCrate2/easyBoard09/channel001.actual.vMon,MDT PS BA BMG6A14 LV Vmon
39,ATLMDTPS2:CAEN/PSMDT02/branchController06/easyCrate3/easyBoard05/channel002.actual.vMon,MDT PS BA BMS1A04 | BMS1A06 LV Vmon
40,ATLMDTPS2:CAEN/PSMDT02/branchController07/easyCrate2/easyBoard05/channel003.actual.vMon,MDT PS BC BIS1C04 | BIS2C04 LV Vmon
41,ATLMDTPS3:CAEN/PSMDT01/branchController10/easyCrate4/easyBoard01/channel000.actual.vMon,MDT PS EA EOL1A05 | EOL2A05 LV Vmon
42,ATLMDTPS3:CAEN/PSMDT01/branchController14/easyCrate2/easyBoard09/channel000.actual.vMon,MDT PS EA EMS2A16 | EMS3A16 LV Vmon
43,ATLMDTPS2:CAEN/PSMDT02/branchController00/easyCrate1/easyBoard13/channel003.actual.vMon,MDT PS BA BOF5A12 | BOL6A11 LV Vmon
44,ATLMDTPS3:CAEN/PSMDT02/branchController07/easyCrate1/easyBoard17/channel004.actual.vMon,MDT PS EA BIS7A04 | BIS7A14 LV Vmon
45,ATLMDTPS2:CAEN/PSMDT02/branchController05/easyCrate3/easyBoard01/channel001.actual.vMon,MDT PS BC BOL2C01 | BOL4C01 LV Vmon
46,ATLMDTPS3:CAEN/PSMDT01/branchController10/easyCrate1/easyBoard05/channel003.actual.vMon,MDT PS EA EOL1A15 | EOL2A15 LV Vmon
47,ATLMDTPS3:CAEN/PSMDT02/branchController07/easyCrate2/easyBoard17/channel004.actual.vMon,MDT PS EC BIS7C02 | BIS7C04 | BIS8C02 | BIS8C04 LV Vmon
48,ATLMDTPS2:CAEN/PSMDT02/branchController04/easyCrate3/easyBoard01/channel001.actual.vMon,MDT PS BC BOL2C13 | BOL3C13 LV Vmon
49,ATLMDTPS2:CAEN/PSMDT02/branchController00/easyCrate0/easyBoard17/channel001.actual.vMon,MDT PS BA BOS1A10 | BOS3A10 LV Vmon
50,ATLMDTPS2:CAEN/PSMDT02/branchController07/easyCrate2/easyBoard01/channel003.actual.vMon,MDT PS BC BIS1C02 | BIS2C02 LV Vmon
