element_name,value_string,ts
lumiBlock,1,2023-05-07 06:28:11.004353
lumiBlock,2,2023-05-07 06:29:11.252210
lumiBlock,3,2023-05-07 06:29:22.828401
lumiBlock,4,2023-05-07 06:29:53.192467
ATLMDTMDM1:MDT_BA_JTAG_INNER|BIL5A07.fsm.currentState,REQUEST,2023-05-07 06:30:11.458000
ATLMDTMDM4:MDT_ECA_JTAG_INNER|BIX7A02.fsm.currentState,REQUEST,2023-05-07 06:30:11.464000
ATLMDTMDM1:MDT_BA_JTAG_INNER|BIL5A07.fsm.currentState,PRELOAD,2023-05-07 06:30:11.465000
ATLMDTMDM5:MDT_ECC_JTAG_INNER|EIL4C11.fsm.currentState,REQUEST,2023-05-07 06:30:11.467000
ATLMDTMDM4:MDT_ECA_JTAG_INNER|BIX7A02.fsm.currentState,PRELOAD,2023-05-07 06:30:11.470000
ATLMDTMDM5:MDT_ECC_JTAG_INNER|EIL4C11.fsm.currentState,PRELOAD,2023-05-07 06:30:11.476000
ATLMDTMDM2:MDT_BA_JTAG_MIDDLE|BMS2A10.fsm.currentState,REQUEST,2023-05-07 06:30:11.482000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C02.fsm.currentState,REQUEST,2023-05-07 06:30:11.488000
ATLMDTMDM2:MDT_BA_JTAG_MIDDLE|BMS2A16.fsm.currentState,REQUEST,2023-05-07 06:30:11.488000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C04.fsm.currentState,REQUEST,2023-05-07 06:30:11.490000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C06.fsm.currentState,REQUEST,2023-05-07 06:30:11.493000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C08.fsm.currentState,REQUEST,2023-05-07 06:30:11.495000
ATLMDTMDM2:MDT_BA_JTAG_MIDDLE|BMS2A10.fsm.currentState,PRELOAD,2023-05-07 06:30:11.496000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C10.fsm.currentState,REQUEST,2023-05-07 06:30:11.508000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C16.fsm.currentState,REQUEST,2023-05-07 06:30:11.508000
ATLMDTMDM5:MDT_ECC_JTAG_INNER|EIL4C11.fsm.currentState,RESET,2023-05-07 06:30:11.828000
ATLMDTMDM4:MDT_ECA_JTAG_INNER|BIX7A02.fsm.currentState,RESET,2023-05-07 06:30:11.841000
ATLMDTMDM1:MDT_BA_JTAG_INNER|BIL5A07.fsm.currentState,RESET,2023-05-07 06:30:11.856000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C02.fsm.currentState,PRELOAD,2023-05-07 06:30:11.863000
ATLMDTMDM2:MDT_BA_JTAG_MIDDLE|BMS2A10.fsm.currentState,RESET,2023-05-07 06:30:11.863000
ATLMDTMDM2:MDT_BA_JTAG_MIDDLE|BMS2A16.fsm.currentState,PRELOAD,2023-05-07 06:30:11.863000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C04.fsm.currentState,PRELOAD,2023-05-07 06:30:11.873000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C02.fsm.currentState,RESET,2023-05-07 06:30:12.539000
ATLMDTMDM2:MDT_BA_JTAG_MIDDLE|BMS2A16.fsm.currentState,RESET,2023-05-07 06:30:12.539000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C06.fsm.currentState,PRELOAD,2023-05-07 06:30:12.539000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C08.fsm.currentState,PRELOAD,2023-05-07 06:30:12.871000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C04.fsm.currentState,RESET,2023-05-07 06:30:12.871000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C06.fsm.currentState,RESET,2023-05-07 06:30:13.209000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C10.fsm.currentState,PRELOAD,2023-05-07 06:30:13.548000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C16.fsm.currentState,PRELOAD,2023-05-07 06:30:13.548000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C08.fsm.currentState,RESET,2023-05-07 06:30:13.553000
ATLMDTMDM5:MDT_ECC_JTAG_INNER|EIL4C11.fsm.currentState,STRINGLOAD,2023-05-07 06:30:14.137000
ATLMDTMDM4:MDT_ECA_JTAG_INNER|BIX7A02.fsm.currentState,STRINGLOAD,2023-05-07 06:30:14.152000
ATLMDTMDM1:MDT_BA_JTAG_INNER|BIL5A07.fsm.currentState,STRINGLOAD,2023-05-07 06:30:14.171000
lumiBlock,5,2023-05-07 06:30:14.188401
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C10.fsm.currentState,RESET,2023-05-07 06:30:14.217000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C16.fsm.currentState,RESET,2023-05-07 06:30:14.217000
ATLMDTMDM2:MDT_BA_JTAG_MIDDLE|BMS2A10.fsm.currentState,STRINGLOAD,2023-05-07 06:30:15.310000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C02.fsm.currentState,STRINGLOAD,2023-05-07 06:30:15.414000
ATLMDTMDM2:MDT_BC_JTAG_MIDDLE|BMS2C04.fsm.currentState,STRINGLOAD,2023-05-07 06:30:15.414000
ATLMDTMDM2:MDT_BA_JTAG_MIDDLE|BMS2A16.fsm.currentState,STRINGLOAD,2023-05-07 06:30:15.414000
ATLMDTMDM5:MDT_ECC_JTAG_INNER|EIL4C11.fsm.currentState,VERIFY,2023-05-07 06:30:16.149000
ATLMDTMDM1:MDT_BA_JTAG_INNER|BIL5A07.fsm.currentState,VERIFY,2023-05-07 06:30:16.188000
