element_name,value_string,ts
lumiBlock,1313,2023-05-03 00:54:51.425761
BIS2A06 HV ML1 fsm,ON,2023-05-03 00:55:39.459000
BIS2A06 HV ML2 fsm,ON,2023-05-03 00:55:39.459000
BIS2A06 HV ML1 fsm,RAMP_UP,2023-05-03 00:55:40.378000
BIS2A06 HV ML2 fsm,RAMP_UP,2023-05-03 00:55:40.378000
lumiBlock,1315,2023-05-03 00:56:01.758181
BIS2A06 HV ML1 fsm,ON,2023-05-03 00:56:21.437000
BIS2A06 HV ML2 fsm,ON,2023-05-03 00:56:21.438000
lumiBlock,1460,2023-05-03 02:50:21.288417
BIS2A06 HV ML1 fsm,RAMP_DOWN,2023-05-03 08:44:44.404000
BIS2A06 HV ML2 fsm,RAMP_DOWN,2023-05-03 08:44:44.405000
BIS2A06 HV ML1 fsm,STANDBY,2023-05-03 08:45:02.410000
BIS2A06 HV ML2 fsm,STANDBY,2023-05-03 08:45:02.411000
