element_name,value_string,ts
lumiBlock,764,2023-05-03 00:55:39.323961
BIS4C06 HV ML1 fsm,ON,2023-05-03 00:55:39.483000
BIS4C06 HV ML2 fsm,ON,2023-05-03 00:55:39.483000
BIS4C06 HV ML1 fsm,RAMP_UP,2023-05-03 00:55:43.394000
BIS4C06 HV ML2 fsm,RAMP_UP,2023-05-03 00:55:43.394000
lumiBlock,766,2023-05-03 00:56:08.066293
BIS4C06 HV ML1 fsm,ON,2023-05-03 00:56:17.434000
BIS4C06 HV ML2 fsm,ON,2023-05-03 00:56:17.435000
lumiBlock,1450,2023-05-03 08:44:29.495320
BIS4C06 HV ML1 fsm,STANDBY,2023-05-03 08:44:46.560000
BIS4C06 HV ML2 fsm,STANDBY,2023-05-03 08:44:46.560000
BIS4C06 HV ML1 fsm,RAMP_DOWN,2023-05-03 08:44:47.440000
BIS4C06 HV ML2 fsm,RAMP_DOWN,2023-05-03 08:44:47.440000
BIS4C06 HV ML1 fsm,STANDBY,2023-05-03 08:44:59.415000
BIS4C06 HV ML2 fsm,STANDBY,2023-05-03 08:44:59.416000
lumiBlock,1460,2023-05-03 08:50:21.288417
